# Station Code,psti
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:38
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SAFL,SGRN,WGRN
06/12,0.226,0.263,0.212,0.178,0.181,0.246,0.263
06/13,0.209,0.246,0.198,0.167,0.168,0.236,0.244
06/14,0.219,0.258,0.207,0.174,0.196,0.25,0.257
06/15,0.252,0.298,0.24,0.203,0.237,0.29,0.297
06/16,0.23,0.269,0.216,0.181,0.223,0.264,0.267
06/17,0.234,0.276,0.222,0.187,0.237,0.272,0.272
06/18,0.224,0.264,0.212,0.181,0.225,0.262,0.26
06/19,0.238,0.28,0.224,0.191,0.241,0.279,0.274
06/20,0.232,0.27,0.217,0.182,0.241,0.268,0.262
06/21,0.24,0.283,0.228,0.191,0.254,0.279,0.272
06/22,0.229,0.27,0.216,0.183,0.246,0.266,0.259
06/23,0.232,0.272,0.217,0.186,0.255,0.267,0.259
06/24,0.22,0.257,0.206,0.173,0.242,0.25,0.242
06/25,0.233,0.273,0.219,0.184,0.26,0.264,0.254
06/26,0.251,0.293,0.234,0.198,0.286,0.284,0.271
06/27,0.256,0.3,0.238,0.202,0.296,0.29,0.271
06/28,0.233,0.274,0.218,0.188,0.268,0.263,0.243
06/29,0.213,0.249,0.199,0.169,0.236,0.236,0.217
06/30,0.2,0.236,0.19,0.16,0.229,0.223,0.199
07/01,0.222,0.261,0.21,0.178,0.253,0.246,0.213
07/02,0.24,0.281,0.226,0.19,0.28,0.267,0.223
07/03,0.231,0.269,0.214,0.183,0.268,0.253,0.204
07/04,0.237,0.278,0.222,0.189,0.275,0.26,0.198
07/05,0.214,0.252,0.2,0.171,0.268,0.244,0.179
07/06,0.229,0.269,0.216,0.183,0.279,0.257,0.186
07/07,0.236,0.277,0.221,0.188,0.288,0.26,0.183
07/08,0.219,0.254,0.203,0.173,0.266,0.238,0.157
07/09,0.239,0.281,0.226,0.19,0.286,0.258,0.166
07/10,0.234,0.274,0.217,0.188,0.276,0.234,0.151
07/11,0.223,0.262,0.211,0.178,0.259,0.243,0.154
07/12,0.232,0.271,0.216,0.184,0.269,0.245,0.146
07/13,0.24,0.281,0.224,0.191,0.28,0.245,0.144
07/14,0.24,0.283,0.228,0.194,0.279,0.236,0.131
07/15,0.247,0.29,0.232,0.197,0.295,0.246,0.128
07/16,0.257,0.301,0.241,0.203,0.309,0.25,0.126
07/17,0.243,0.286,0.229,0.192,0.299,0.234,0.109
07/18,0.241,0.284,0.228,0.194,0.295,0.22,0.101
07/19,0.24,0.282,0.224,0.192,0.287,0.201,0.092
07/20,0.255,0.3,0.24,0.204,0.316,0.21,0.034
07/21,0.253,0.298,0.239,0.202,0.301,0.185,0.115
07/22,0.244,0.288,0.23,0.197,0.288,0.163,0.105
07/23,0.238,0.279,0.224,0.19,0.28,0.149,0.115
07/24,0.247,0.288,0.23,0.194,0.279,0.138,0.075
07/25,0.232,0.273,0.219,0.187,0.269,0.08,0.0
07/26,0.234,0.274,0.22,0.187,0.265,0.14,
07/27,0.219,0.256,0.203,0.174,0.259,0.13,
07/28,0.223,0.263,0.211,0.179,0.268,0.135,
07/29,0.237,0.278,0.223,0.188,0.279,0.133,
07/30,0.233,0.273,0.217,0.184,0.273,0.125,
07/31,0.24,0.28,0.224,0.19,0.277,0.105,
08/01,0.224,0.261,0.208,0.178,0.256,0.03,
08/02,0.201,0.238,0.192,0.162,0.228,0.06,
08/03,0.209,0.246,0.197,0.167,0.261,0.04,
08/04,0.23,0.27,0.216,0.183,0.271,0.06,
08/05,0.23,0.271,0.218,0.184,0.271,0.0,
08/06,0.217,0.253,0.201,0.172,0.254,,
08/07,0.19,0.222,0.179,0.152,0.229,,
08/08,0.191,0.226,0.181,0.153,0.234,,
08/09,0.228,0.268,0.213,0.182,0.271,,
08/10,0.226,0.264,0.213,0.179,0.265,,
08/11,0.229,0.269,0.213,0.182,0.26,,
08/12,0.216,0.253,0.202,0.17,0.255,,
08/13,0.22,0.258,0.204,0.174,0.253,,
08/14,0.219,0.258,0.208,0.176,0.247,,
08/15,0.22,0.259,0.207,0.176,0.245,,
08/16,0.214,0.252,0.202,0.172,0.241,,
08/17,0.241,0.283,0.228,0.192,0.273,,
08/18,0.201,0.236,0.188,0.16,0.217,,
08/19,0.189,0.221,0.178,0.149,0.201,,
08/20,0.183,0.213,0.171,0.146,0.194,,
08/21,0.188,0.221,0.177,0.15,0.2,,
08/22,0.19,0.221,0.177,0.151,0.199,,
08/23,0.202,0.238,0.189,0.161,0.215,,
08/24,0.212,0.248,0.197,0.169,0.21,,
08/25,0.217,0.254,0.203,0.174,0.243,,
08/26,0.193,0.229,0.183,0.154,0.233,,
08/27,0.208,0.244,0.194,0.166,0.233,,
08/28,0.202,0.237,0.19,0.161,0.221,,
08/29,0.206,0.24,0.192,0.162,0.224,,
08/30,0.208,0.243,0.194,0.163,0.216,,
08/31,0.184,0.217,0.174,0.147,0.216,,
09/01,0.202,0.238,0.19,0.158,0.22,,
09/02,0.214,0.251,0.202,0.166,0.214,,
09/03,0.221,0.261,0.21,0.173,0.214,,
09/04,0.193,0.23,0.184,0.152,0.18,,
09/05,0.201,0.236,0.188,0.156,0.177,,
09/06,0.188,0.222,0.177,0.147,0.174,,
09/07,0.217,0.254,0.204,0.167,0.179,,
09/08,0.201,0.237,0.19,0.156,0.19,,
09/09,0.196,0.231,0.186,0.151,0.17,,
09/10,0.194,0.23,0.186,0.149,0.166,,
09/11,0.182,0.214,0.171,0.139,0.14,,
09/12,0.186,0.219,0.176,0.14,0.139,,
09/13,0.168,0.197,0.157,0.127,0.123,,
09/14,0.156,0.182,0.147,0.116,0.109,,
09/15,0.168,0.196,0.156,0.122,0.123,,
09/16,0.155,0.184,0.147,0.116,0.118,,
09/17,0.164,0.194,0.156,0.121,0.118,,
09/18,0.185,0.217,0.174,0.135,0.127,,
09/19,0.156,0.182,0.146,0.113,0.09,,
09/20,0.132,0.156,0.124,0.094,0.074,,
09/21,0.124,0.146,0.114,0.089,0.057,,
09/22,0.133,0.157,0.124,0.097,0.056,,
09/23,0.134,0.157,0.127,0.094,0.053,,
09/24,0.13,0.152,0.121,0.092,0.044,,
09/25,0.134,0.158,0.127,0.093,0.036,,
09/26,0.146,0.172,0.138,0.1,0.054,,
09/27,0.152,0.179,0.142,0.102,0.056,,
09/28,0.144,0.169,0.136,0.093,0.048,,
09/29,0.137,0.161,0.128,0.087,0.038,,
09/30,0.138,0.161,0.129,0.084,0.0,,
10/01,0.116,0.134,0.108,0.07,,,
10/02,0.103,0.121,0.097,0.062,,,
10/03,0.109,0.128,0.103,0.061,,,
10/04,0.107,0.126,0.1,0.061,,,
10/05,0.1,0.117,0.094,0.054,,,
10/06,0.096,0.113,0.092,0.051,,,
10/07,0.113,0.134,0.108,0.06,,,
10/08,0.11,0.129,0.103,0.056,,,
10/09,0.096,0.109,0.087,0.046,,,
10/10,0.0,0.0,0.0,0.0,,,
