# Station Code,mnpi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,FCRN,HAYM,HAYP,LAWN,PAST,POTA,SGRN,WGRN,WGRP
06/07,0.162,0.192,0.06,0.183,0.183,0.157,0.132,0.063,0.18,0.192,0.11
06/08,0.165,0.193,0.062,0.183,0.185,0.157,0.13,0.063,0.182,0.193,0.14
06/09,0.193,0.227,0.075,0.213,0.217,0.18,0.153,0.077,0.215,0.227,0.13
06/10,0.192,0.227,0.068,0.217,0.217,0.182,0.153,0.082,0.218,0.227,0.14
06/11,0.197,0.23,0.072,0.217,0.22,0.185,0.157,0.088,0.223,0.23,0.13
06/12,0.212,0.25,0.078,0.235,0.24,0.2,0.172,0.1,0.243,0.25,0.11
06/13,0.197,0.228,0.072,0.212,0.218,0.182,0.155,0.092,0.223,0.228,0.08
06/14,0.192,0.223,0.072,0.205,0.213,0.177,0.153,0.092,0.218,0.223,0.08
06/15,0.202,0.237,0.077,0.22,0.225,0.188,0.163,0.1,0.233,0.237,0.11
06/16,0.185,0.218,0.07,0.202,0.21,0.175,0.148,0.092,0.215,0.218,0.11
06/17,0.173,0.203,0.067,0.187,0.193,0.162,0.137,0.088,0.202,0.203,0.12
06/18,0.182,0.215,0.073,0.195,0.205,0.173,0.147,0.098,0.213,0.215,0.11
06/19,0.188,0.222,0.078,0.202,0.21,0.178,0.15,0.103,0.22,0.222,0.1
06/20,0.187,0.22,0.078,0.198,0.21,0.177,0.152,0.102,0.22,0.22,0.11
06/21,0.19,0.225,0.08,0.203,0.215,0.18,0.153,0.112,0.223,0.225,0.16
06/22,0.198,0.23,0.087,0.205,0.22,0.182,0.158,0.117,0.23,0.23,0.14
06/23,0.183,0.217,0.082,0.195,0.207,0.172,0.147,0.117,0.217,0.217,0.08
06/24,0.172,0.2,0.077,0.175,0.19,0.16,0.137,0.108,0.2,0.2,0.13
06/25,0.177,0.208,0.082,0.182,0.198,0.167,0.143,0.113,0.208,0.208,0.11
06/26,0.205,0.24,0.097,0.212,0.23,0.19,0.163,0.137,0.24,0.24,0.15
06/27,0.205,0.242,0.1,0.21,0.232,0.193,0.165,0.143,0.242,0.242,0.14
06/28,0.208,0.243,0.098,0.21,0.23,0.193,0.165,0.143,0.243,0.243,0.14
06/29,0.183,0.217,0.09,0.183,0.203,0.175,0.147,0.13,0.217,0.217,0.11
06/30,0.16,0.187,0.078,0.162,0.177,0.148,0.127,0.115,0.187,0.187,0.16
07/01,0.197,0.23,0.105,0.195,0.22,0.185,0.157,0.148,0.23,0.23,0.17
07/02,0.202,0.237,0.108,0.198,0.225,0.192,0.162,0.153,0.237,0.237,0.18
07/03,0.21,0.245,0.118,0.205,0.232,0.195,0.168,0.167,0.245,0.245,0.15
07/04,0.208,0.243,0.122,0.202,0.228,0.195,0.165,0.17,0.243,0.243,0.15
07/05,0.203,0.238,0.127,0.197,0.223,0.192,0.163,0.17,0.238,0.238,0.14
07/06,0.207,0.243,0.128,0.198,0.227,0.195,0.167,0.177,0.243,0.243,0.14
07/07,0.235,0.275,0.153,0.225,0.257,0.22,0.185,0.207,0.275,0.275,0.14
07/08,0.217,0.253,0.143,0.207,0.235,0.203,0.173,0.192,0.253,0.253,0.17
07/09,0.227,0.268,0.155,0.217,0.25,0.215,0.182,0.205,0.268,0.267,0.16
07/10,0.223,0.26,0.155,0.208,0.24,0.207,0.177,0.203,0.26,0.257,0.18
07/11,0.212,0.248,0.148,0.198,0.228,0.198,0.17,0.193,0.248,0.245,0.17
07/12,0.217,0.253,0.158,0.202,0.233,0.202,0.175,0.203,0.253,0.247,0.17
07/13,0.22,0.258,0.167,0.207,0.238,0.207,0.173,0.21,0.258,0.25,0.16
07/14,0.215,0.252,0.165,0.2,0.232,0.2,0.172,0.207,0.252,0.237,0.15
07/15,0.212,0.252,0.168,0.202,0.233,0.202,0.172,0.212,0.252,0.235,0.17
07/16,0.22,0.26,0.177,0.21,0.24,0.21,0.177,0.22,0.26,0.238,0.18
07/17,0.232,0.272,0.192,0.217,0.252,0.217,0.185,0.233,0.272,0.245,0.18
07/18,0.223,0.263,0.19,0.21,0.243,0.21,0.178,0.227,0.263,0.232,0.16
07/19,0.218,0.257,0.188,0.207,0.237,0.207,0.175,0.223,0.257,0.222,0.17
07/20,0.203,0.24,0.182,0.193,0.22,0.193,0.163,0.21,0.24,0.203,0.14
07/21,0.198,0.234,0.172,0.186,0.216,0.186,0.16,0.206,0.234,0.202,0.12
07/22,0.214,0.252,0.19,0.202,0.232,0.202,0.17,0.222,0.25,0.214,0.16
07/23,0.218,0.254,0.194,0.202,0.232,0.202,0.172,0.226,0.252,0.212,0.18
07/24,0.2,0.234,0.186,0.188,0.216,0.188,0.158,0.21,0.232,0.19,0.1
07/25,0.208,0.246,0.194,0.198,0.226,0.198,0.166,0.22,0.24,0.196,0.16
07/26,0.194,0.228,0.188,0.184,0.21,0.184,0.156,0.206,0.222,0.184,0.14
07/27,0.188,0.222,0.186,0.178,0.202,0.178,0.152,0.202,0.212,0.17,0.15
07/28,0.204,0.24,0.202,0.192,0.22,0.192,0.164,0.22,0.224,0.172,0.18
