# Station Code,rthi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:39
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,LAWN,PAST,SGRN,WGRN
06/26,0.217,0.254,0.204,0.173,0.253,0.254
06/27,0.215,0.254,0.204,0.172,0.253,0.254
06/28,0.242,0.284,0.228,0.194,0.283,0.284
06/29,0.214,0.251,0.2,0.171,0.251,0.251
06/30,0.228,0.27,0.216,0.183,0.27,0.27
07/01,0.241,0.285,0.228,0.194,0.285,0.284
07/02,0.238,0.28,0.225,0.191,0.28,0.279
07/03,0.227,0.265,0.212,0.179,0.265,0.264
07/04,0.218,0.258,0.205,0.175,0.258,0.255
07/05,0.261,0.308,0.247,0.209,0.308,0.304
07/06,0.251,0.293,0.235,0.198,0.293,0.288
07/07,0.255,0.302,0.242,0.206,0.302,0.297
07/08,0.235,0.275,0.22,0.186,0.275,0.266
07/09,0.23,0.269,0.215,0.183,0.269,0.258
07/10,0.222,0.259,0.208,0.175,0.258,0.248
07/11,0.218,0.255,0.205,0.174,0.255,0.244
07/12,0.238,0.279,0.222,0.189,0.278,0.262
07/13,0.231,0.269,0.216,0.181,0.267,0.247
07/14,0.232,0.271,0.216,0.184,0.267,0.242
07/15,0.222,0.259,0.207,0.176,0.254,0.228
07/16,0.24,0.283,0.227,0.193,0.275,0.244
07/17,0.23,0.271,0.218,0.185,0.263,0.228
07/18,0.25,0.294,0.235,0.199,0.282,0.234
07/19,0.228,0.269,0.217,0.182,0.255,0.206
07/20,0.242,0.282,0.225,0.193,0.265,0.211
07/21,0.244,0.288,0.23,0.195,0.265,0.202
07/22,0.237,0.278,0.223,0.188,0.255,0.193
07/23,0.246,0.288,0.229,0.195,0.262,0.193
07/24,0.243,0.285,0.228,0.194,0.257,0.185
07/25,0.235,0.278,0.222,0.189,0.242,0.166
07/26,0.24,0.282,0.225,0.192,0.258,0.182
07/27,0.255,0.302,0.242,0.205,0.265,0.182
07/28,0.254,0.298,0.237,0.202,0.249,0.174
07/29,0.264,0.308,0.247,0.21,0.246,0.174
07/30,0.273,0.32,0.256,0.218,0.242,0.168
07/31,0.297,0.347,0.276,0.236,0.243,0.165
08/01,0.234,0.274,0.22,0.185,0.183,0.111
08/02,0.246,0.29,0.233,0.197,0.199,0.151
08/03,0.235,0.277,0.222,0.187,0.181,0.145
08/04,0.253,0.297,0.237,0.202,0.179,0.131
08/05,0.235,0.274,0.218,0.187,0.132,0.061
08/06,0.215,0.252,0.201,0.171,0.149,0.157
08/07,0.222,0.261,0.209,0.177,0.142,0.157
08/08,0.211,0.248,0.2,0.169,0.132,0.157
08/09,0.194,0.229,0.185,0.157,0.118,0.137
08/10,0.235,0.276,0.221,0.186,0.069,0.11
08/11,0.238,0.281,0.224,0.19,0.2,0.165
08/12,0.217,0.255,0.204,0.172,0.21,0.195
08/13,0.198,0.234,0.188,0.158,0.197,0.155
08/14,0.218,0.257,0.205,0.174,0.2,0.15
08/15,0.215,0.252,0.202,0.171,0.147,0.115
08/16,0.237,0.278,0.222,0.188,0.235,0.25
08/17,0.219,0.258,0.205,0.175,0.29,0.34
08/18,0.234,0.275,0.22,0.187,0.275,0.38
08/19,0.226,0.265,0.212,0.179,0.25,0.28
08/20,0.219,0.258,0.205,0.176,0.21,0.21
08/21,0.206,0.243,0.195,0.167,0.18,0.2
08/22,0.196,0.228,0.182,0.156,0.155,0.13
08/23,0.195,0.229,0.182,0.155,0.17,0.2
08/24,0.222,0.261,0.208,0.175,0.205,0.29
08/25,0.204,0.239,0.192,0.161,0.15,0.19
08/26,0.208,0.246,0.196,0.165,0.155,0.19
08/27,0.206,0.243,0.195,0.162,0.13,0.15
08/28,0.208,0.243,0.195,0.163,0.125,0.15
08/29,0.215,0.252,0.201,0.167,0.115,0.15
08/30,0.182,0.214,0.172,0.142,0.1,0.2
08/31,0.193,0.227,0.182,0.149,0.26,0.26
09/01,0.198,0.234,0.188,0.155,0.15,0.15
09/02,0.179,0.211,0.169,0.138,0.2,0.2
09/03,0.162,0.19,0.152,0.123,0.11,0.11
09/04,0.182,0.215,0.172,0.139,0.13,0.13
09/05,0.192,0.226,0.182,0.146,0.13,0.13
09/06,0.167,0.196,0.158,0.128,0.17,0.17
09/07,0.18,0.21,0.168,0.133,0.15,0.15
09/08,0.165,0.194,0.155,0.125,0.13,0.13
09/09,0.175,0.205,0.162,0.13,0.11,0.11
09/10,0.203,0.239,0.191,0.151,0.15,0.15
09/11,0.182,0.214,0.17,0.135,0.09,0.09
09/12,0.162,0.192,0.154,0.119,0.09,0.09
09/13,0.163,0.192,0.153,0.12,0.06,0.06
09/14,0.151,0.178,0.144,0.109,0.05,0.05
09/15,0.162,0.19,0.153,0.115,0.06,0.06
09/16,0.143,0.168,0.136,0.102,0.05,0.05
09/17,0.132,0.155,0.125,0.094,0.07,0.07
09/18,0.115,0.134,0.108,0.079,0.09,0.09
09/19,0.114,0.132,0.106,0.075,0.07,0.07
09/20,0.133,0.157,0.126,0.087,0.11,0.11
09/21,0.15,0.175,0.138,0.095,0.11,0.11
09/22,0.116,0.135,0.109,0.072,0.03,0.03
09/23,0.105,0.123,0.098,0.065,0.05,0.05
09/24,0.126,0.148,0.118,0.075,0.05,0.05
09/25,0.118,0.138,0.112,0.068,0.07,0.07
09/26,0.123,0.145,0.118,0.069,0.09,0.09
09/27,0.113,0.133,0.107,0.06,0.09,0.09
09/28,0.122,0.143,0.115,0.064,0.05,0.05
09/29,0.119,0.14,0.112,0.058,0.01,0.01
09/30,0.01,0.123,0.009,0.006,0.0,0.0
10/01,0.06,0.117,0.06,0.04,,
10/02,0.14,0.118,0.14,0.09,,
10/03,0.06,0.117,0.06,0.03,,
10/04,0.03,0.124,0.03,0.02,,
10/05,0.04,0.115,0.04,0.02,,
10/06,0.03,0.124,0.03,0.02,,
10/07,0.04,0.116,0.04,0.02,,
10/08,0.05,0.097,0.05,0.03,,
10/09,0.03,0.108,0.03,0.02,,
10/10,,0.108,,,,
10/11,,0.11,,,,
10/12,,0.093,,,,
10/13,,0.071,,,,
10/14,,0.08,,,,
10/15,,0.111,,,,
10/16,,0.151,,,,
10/17,,0.143,,,,
10/18,,0.091,,,,
10/19,,0.092,,,,
10/20,,0.083,,,,
10/21,,0.078,,,,
10/22,,0.078,,,,
10/23,,0.058,,,,
10/24,,0.048,,,,
10/25,,0.062,,,,
10/26,,0.05,,,,
10/27,,0.054,,,,
10/28,,0.053,,,,
10/29,,0.046,,,,
10/30,,0.049,,,,
10/31,,0.052,,,,
11/01,,0.0,,,,
