# Station Code,rxgi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:39
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,FCRN,LAWN,PAST,POTA,SGRN,WGRN
06/28,0.228,0.267,0.102,0.213,0.181,0.158,0.267,0.267
06/29,0.241,0.284,0.113,0.226,0.195,0.174,0.284,0.284
06/30,0.217,0.255,0.105,0.205,0.173,0.158,0.255,0.255
07/01,0.246,0.29,0.126,0.234,0.197,0.186,0.29,0.29
07/02,0.251,0.293,0.13,0.234,0.198,0.195,0.293,0.293
07/03,0.251,0.292,0.135,0.233,0.198,0.196,0.292,0.292
07/04,0.248,0.292,0.139,0.235,0.198,0.202,0.292,0.292
07/05,0.233,0.274,0.135,0.22,0.187,0.195,0.274,0.274
07/06,0.248,0.29,0.148,0.232,0.198,0.21,0.29,0.29
07/07,0.246,0.289,0.151,0.231,0.197,0.209,0.289,0.289
07/08,0.252,0.296,0.16,0.237,0.199,0.219,0.296,0.295
07/09,0.258,0.302,0.168,0.242,0.205,0.227,0.302,0.298
07/10,0.238,0.279,0.159,0.224,0.189,0.213,0.279,0.276
07/11,0.238,0.279,0.163,0.224,0.191,0.218,0.279,0.273
07/12,0.245,0.288,0.175,0.229,0.194,0.23,0.288,0.276
07/13,0.238,0.279,0.172,0.223,0.189,0.225,0.279,0.263
07/14,0.228,0.266,0.167,0.211,0.182,0.216,0.266,0.245
07/15,0.234,0.275,0.178,0.222,0.187,0.228,0.275,0.249
07/16,0.24,0.281,0.188,0.223,0.189,0.236,0.281,0.247
07/17,0.237,0.278,0.191,0.222,0.189,0.235,0.278,0.24
07/18,0.255,0.3,0.208,0.239,0.204,0.256,0.3,0.252
07/19,0.26,0.305,0.215,0.245,0.207,0.263,0.305,0.249
07/20,0.265,0.312,0.227,0.248,0.211,0.269,0.312,0.246
07/21,0.257,0.302,0.224,0.241,0.205,0.265,0.301,0.248
07/22,0.268,0.315,0.237,0.251,0.214,0.279,0.307,0.258
07/23,0.254,0.298,0.23,0.238,0.202,0.265,0.288,0.237
07/24,0.259,0.305,0.242,0.244,0.207,0.275,0.285,0.228
07/25,0.249,0.293,0.237,0.235,0.199,0.266,0.268,0.225
07/26,0.258,0.302,0.249,0.241,0.205,0.275,0.295,0.23
07/27,0.236,0.278,0.233,0.222,0.188,0.253,0.268,0.209
07/28,0.226,0.265,0.225,0.212,0.18,0.242,0.244,0.185
07/29,0.23,0.269,0.235,0.215,0.182,0.248,0.243,0.184
07/30,0.25,0.293,0.258,0.235,0.199,0.269,0.253,0.184
07/31,0.252,0.295,0.27,0.236,0.203,0.275,0.239,0.17
08/01,0.255,0.3,0.276,0.242,0.204,0.279,0.233,0.132
08/02,0.246,0.288,0.27,0.231,0.196,0.269,0.216,0.185
08/03,0.252,0.296,0.281,0.236,0.202,0.276,0.211,0.179
