# Station Code,tfgi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,POTS,RAPE,SGRN,WGRN
05/18,0.186,0.22,0.2,0.21,0.173,0.15,0.088,0.117,0.054,0.218,0.22
05/19,0.174,0.204,0.184,0.197,0.16,0.139,0.1,0.121,0.06,0.182,0.204
05/20,0.166,0.194,0.176,0.187,0.153,0.131,0.076,0.119,0.051,0.173,0.194
05/21,0.16,0.189,0.17,0.181,0.15,0.127,0.074,0.116,0.049,0.168,0.189
05/22,0.167,0.197,0.179,0.19,0.156,0.134,0.08,0.133,0.054,0.173,0.197
05/23,0.176,0.206,0.186,0.197,0.161,0.14,0.086,0.14,0.06,0.198,0.206
05/24,0.21,0.246,0.219,0.233,0.194,0.167,0.103,0.174,0.081,0.258,0.246
05/25,0.191,0.224,0.197,0.214,0.177,0.153,0.1,0.169,0.084,0.23,0.224
05/26,0.186,0.216,0.19,0.204,0.171,0.149,0.096,0.163,0.083,0.215,0.216
05/27,0.193,0.226,0.197,0.216,0.177,0.153,0.101,0.174,0.091,0.227,0.226
05/28,0.201,0.237,0.207,0.227,0.19,0.163,0.106,0.187,0.1,0.237,0.237
05/29,0.23,0.269,0.237,0.254,0.214,0.181,0.123,0.214,0.119,0.265,0.269
05/30,0.2,0.234,0.204,0.223,0.186,0.16,0.11,0.19,0.107,0.235,0.234
05/31,0.204,0.241,0.213,0.227,0.193,0.164,0.12,0.203,0.124,0.238,0.241
06/01,0.217,0.254,0.219,0.243,0.204,0.173,0.131,0.216,0.144,0.255,0.254
06/02,0.249,0.291,0.251,0.276,0.233,0.199,0.153,0.251,0.17,0.28,0.291
06/03,0.253,0.297,0.253,0.28,0.239,0.203,0.159,0.257,0.184,0.298,0.297
06/04,0.259,0.304,0.259,0.287,0.243,0.206,0.166,0.269,0.197,0.31,0.304
06/05,0.244,0.286,0.241,0.269,0.227,0.194,0.159,0.256,0.194,0.292,0.286
06/06,0.244,0.287,0.241,0.269,0.229,0.194,0.166,0.257,0.206,0.295,0.287
06/07,0.201,0.237,0.199,0.223,0.189,0.161,0.149,0.216,0.19,0.233,0.237
06/08,0.221,0.26,0.216,0.246,0.209,0.177,0.163,0.236,0.204,0.267,0.26
06/09,0.211,0.25,0.207,0.234,0.2,0.169,0.157,0.226,0.203,0.265,0.25
06/10,0.199,0.236,0.193,0.221,0.187,0.16,0.151,0.214,0.196,0.214,0.236
06/11,0.246,0.289,0.237,0.27,0.233,0.194,0.186,0.264,0.24,0.257,0.289
06/12,0.193,0.226,0.184,0.211,0.18,0.153,0.146,0.207,0.19,0.197,0.226
06/13,0.237,0.28,0.227,0.263,0.224,0.19,0.193,0.254,0.247,0.259,0.28
06/14,0.249,0.289,0.233,0.27,0.23,0.197,0.203,0.264,0.26,0.267,0.289
06/15,0.254,0.299,0.24,0.279,0.239,0.204,0.214,0.274,0.273,0.283,0.299
06/16,0.249,0.291,0.234,0.271,0.233,0.197,0.219,0.267,0.273,0.283,0.291
06/17,0.251,0.293,0.236,0.274,0.234,0.199,0.221,0.27,0.277,0.289,0.293
06/18,0.23,0.27,0.216,0.253,0.214,0.183,0.204,0.247,0.256,0.269,0.27
