# Station Code,fthi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:30
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEET,FCRN,LAWN,PAST,POTA,SGRN,WGRN
05/28,0.196,0.232,0.066,0.075,0.185,0.158,0.098,0.225,0.232
05/29,0.214,0.252,0.073,0.082,0.201,0.172,0.111,0.245,0.252
05/30,0.215,0.251,0.074,0.08,0.201,0.17,0.112,0.245,0.251
05/31,0.222,0.258,0.075,0.085,0.206,0.176,0.117,0.255,0.258
06/01,0.225,0.263,0.08,0.089,0.21,0.178,0.125,0.259,0.263
06/02,0.225,0.264,0.082,0.09,0.211,0.179,0.126,0.262,0.264
06/03,0.245,0.288,0.092,0.098,0.231,0.196,0.145,0.287,0.288
06/04,0.248,0.292,0.093,0.102,0.234,0.198,0.15,0.291,0.292
06/05,0.249,0.293,0.095,0.102,0.235,0.198,0.152,0.292,0.293
06/06,0.241,0.282,0.095,0.099,0.227,0.191,0.153,0.282,0.282
06/07,0.216,0.253,0.089,0.094,0.202,0.172,0.145,0.253,0.253
06/08,0.216,0.254,0.091,0.095,0.202,0.172,0.149,0.254,0.254
06/09,0.232,0.273,0.102,0.105,0.219,0.187,0.166,0.273,0.273
06/10,0.226,0.268,0.102,0.105,0.214,0.181,0.162,0.268,0.268
06/11,0.232,0.272,0.105,0.108,0.218,0.184,0.162,0.272,0.272
06/12,0.215,0.252,0.1,0.1,0.202,0.172,0.158,0.252,0.252
06/13,0.243,0.287,0.12,0.119,0.229,0.195,0.188,0.287,0.286
06/14,0.247,0.29,0.123,0.122,0.232,0.195,0.192,0.29,0.289
06/15,0.229,0.269,0.114,0.115,0.215,0.184,0.18,0.269,0.268
06/16,0.227,0.265,0.118,0.118,0.212,0.18,0.183,0.265,0.265
06/17,0.251,0.293,0.134,0.136,0.235,0.198,0.208,0.293,0.291
06/18,0.225,0.265,0.123,0.124,0.212,0.182,0.192,0.265,0.262
06/19,0.246,0.289,0.138,0.139,0.232,0.197,0.211,0.289,0.285
06/20,0.244,0.286,0.142,0.142,0.23,0.195,0.216,0.286,0.282
06/21,0.25,0.293,0.146,0.15,0.233,0.198,0.226,0.293,0.287
06/22,0.251,0.293,0.15,0.154,0.235,0.198,0.228,0.293,0.287
06/23,0.252,0.295,0.155,0.16,0.235,0.2,0.235,0.295,0.287
06/24,0.257,0.301,0.161,0.166,0.239,0.205,0.24,0.301,0.293
06/25,0.245,0.287,0.158,0.16,0.229,0.195,0.232,0.287,0.279
06/26,0.258,0.304,0.172,0.174,0.244,0.206,0.251,0.304,0.295
06/27,0.261,0.306,0.177,0.179,0.244,0.208,0.255,0.306,0.294
06/28,0.249,0.294,0.175,0.18,0.235,0.199,0.252,0.294,0.282
06/29,0.255,0.299,0.184,0.189,0.239,0.204,0.258,0.299,0.287
06/30,0.235,0.276,0.172,0.175,0.221,0.187,0.238,0.276,0.263
07/01,0.26,0.304,0.192,0.195,0.242,0.205,0.265,0.304,0.286
07/02,0.263,0.309,0.2,0.204,0.248,0.211,0.272,0.309,0.285
07/03,0.257,0.302,0.2,0.204,0.241,0.205,0.265,0.302,0.272
07/04,0.262,0.306,0.207,0.213,0.243,0.208,0.273,0.306,0.272
07/05,0.242,0.285,0.194,0.202,0.228,0.193,0.254,0.285,0.249
07/06,0.255,0.298,0.211,0.215,0.238,0.201,0.267,0.298,0.252
07/07,0.271,0.319,0.231,0.233,0.256,0.218,0.288,0.319,0.259
07/08,0.245,0.289,0.213,0.218,0.231,0.196,0.263,0.289,0.225
07/09,0.261,0.305,0.231,0.232,0.244,0.206,0.278,0.305,0.228
07/10,0.248,0.293,0.225,0.227,0.235,0.2,0.269,0.292,0.213
07/11,0.258,0.303,0.237,0.237,0.242,0.205,0.279,0.302,0.22
07/12,0.262,0.308,0.247,0.248,0.245,0.207,0.284,0.302,0.217
07/13,0.269,0.315,0.258,0.258,0.252,0.213,0.291,0.305,0.21
07/14,0.254,0.298,0.25,0.251,0.238,0.202,0.277,0.284,0.183
07/15,0.269,0.315,0.269,0.269,0.252,0.215,0.292,0.293,0.177
07/16,0.269,0.317,0.275,0.275,0.255,0.217,0.294,0.289,0.185
07/17,0.28,0.328,0.288,0.288,0.262,0.222,0.304,0.295,0.178
07/18,0.293,0.345,0.309,0.308,0.276,0.235,0.32,0.305,0.178
07/19,0.295,0.346,0.315,0.312,0.276,0.235,0.322,0.294,0.168
07/20,0.288,0.339,0.312,0.311,0.272,0.23,0.317,0.272,0.156
07/21,0.298,0.35,0.325,0.324,0.279,0.238,0.325,0.289,0.149
07/22,0.287,0.337,0.319,0.32,0.269,0.229,0.316,0.275,0.133
07/23,0.278,0.325,0.31,0.31,0.259,0.219,0.302,0.248,0.121
07/24,0.271,0.319,0.309,0.307,0.254,0.216,0.297,0.227,0.106
07/25,0.281,0.33,0.322,0.318,0.264,0.224,0.306,0.21,0.029
07/26,0.286,0.338,0.332,0.33,0.271,0.228,0.314,0.241,0.16
07/27,0.28,0.33,0.324,0.322,0.263,0.224,0.307,0.225,0.17
07/28,0.265,0.312,0.308,0.305,0.248,0.211,0.289,0.204,0.145
07/29,0.268,0.315,0.311,0.309,0.252,0.215,0.291,0.186,0.125
07/30,0.285,0.335,0.332,0.331,0.268,0.228,0.31,0.178,0.06
07/31,0.269,0.317,0.317,0.313,0.254,0.215,0.294,0.145,0.1
08/01,0.281,0.329,0.329,0.328,0.262,0.224,0.305,0.107,0.0
08/02,0.264,0.31,0.31,0.308,0.247,0.21,0.285,0.117,
08/03,0.268,0.315,0.315,0.315,0.253,0.215,0.29,0.104,
08/04,0.272,0.322,0.322,0.321,0.257,0.22,0.295,0.101,
08/05,0.26,0.305,0.305,0.305,0.244,0.205,0.279,0.017,
08/06,0.24,0.281,0.281,0.281,0.225,0.191,0.257,0.12,
08/07,0.256,0.302,0.302,0.302,0.241,0.204,0.274,0.09,
08/08,0.255,0.3,0.3,0.3,0.238,0.204,0.272,0.08,
