# Station Code,osgi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:37
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,POTS,SGRN,WGRN
05/28,0.197,0.231,0.219,0.22,0.184,0.159,0.085,0.179,0.211,0.231
05/29,0.194,0.227,0.218,0.218,0.181,0.153,0.08,0.171,0.21,0.227
05/30,0.18,0.213,0.204,0.204,0.17,0.145,0.077,0.168,0.198,0.213
05/31,0.198,0.231,0.22,0.221,0.184,0.156,0.083,0.189,0.219,0.231
06/01,0.203,0.239,0.228,0.229,0.191,0.164,0.09,0.196,0.231,0.239
06/02,0.2,0.235,0.224,0.225,0.188,0.161,0.096,0.2,0.228,0.235
06/03,0.21,0.248,0.235,0.239,0.201,0.17,0.103,0.214,0.241,0.248
06/04,0.226,0.266,0.252,0.255,0.212,0.181,0.116,0.244,0.26,0.266
06/05,0.23,0.27,0.254,0.26,0.216,0.185,0.111,0.238,0.264,0.27
06/06,0.225,0.262,0.247,0.251,0.209,0.178,0.117,0.242,0.256,0.262
06/07,0.198,0.232,0.218,0.223,0.185,0.157,0.099,0.21,0.228,0.232
06/08,0.192,0.225,0.212,0.215,0.179,0.154,0.094,0.195,0.223,0.225
06/09,0.226,0.268,0.25,0.258,0.215,0.182,0.128,0.234,0.267,0.268
06/10,0.215,0.252,0.236,0.241,0.201,0.172,0.115,0.212,0.251,0.252
06/11,0.189,0.223,0.205,0.214,0.179,0.15,0.106,0.198,0.223,0.223
06/12,0.186,0.218,0.2,0.208,0.174,0.149,0.098,0.177,0.218,0.218
06/13,0.208,0.244,0.223,0.233,0.195,0.166,0.116,0.198,0.244,0.244
06/14,0.212,0.249,0.227,0.239,0.198,0.169,0.136,0.231,0.249,0.249
06/15,0.2,0.235,0.214,0.225,0.189,0.16,0.126,0.206,0.235,0.235
06/16,0.214,0.249,0.226,0.239,0.199,0.17,0.141,0.226,0.249,0.249
06/17,0.21,0.248,0.222,0.237,0.199,0.168,0.149,0.229,0.248,0.248
