# Station Code,gfri
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:31
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,BEET,FCRN,LAWN,PAST,POTA,PPMT,SCRN,SGRN,WGRN
04/29,0.22,0.257,,0.068,0.078,0.208,0.177,0.102,0.115,0.078,0.228,0.26
04/30,0.223,0.258,,0.073,0.074,0.209,0.177,0.109,0.123,0.074,0.231,0.261
05/01,0.232,0.27,,0.074,0.083,0.218,0.186,0.108,0.13,0.083,0.243,0.272
05/02,0.24,0.281,,0.08,0.091,0.225,0.191,0.115,0.141,0.091,0.255,0.282
05/03,0.236,0.278,,0.082,0.093,0.222,0.188,0.123,0.147,0.093,0.255,0.278
05/04,0.235,0.278,,0.08,0.092,0.222,0.189,0.118,0.151,0.092,0.256,0.278
05/05,0.23,0.272,0.06,0.074,0.091,0.217,0.185,0.118,0.152,0.091,0.251,0.272
05/06,0.237,0.278,0.057,0.075,0.096,0.222,0.19,0.12,0.155,0.096,0.259,0.278
05/07,0.202,0.235,0.043,0.063,0.077,0.188,0.16,0.102,0.132,0.077,0.222,0.235
05/08,0.203,0.238,0.05,0.066,0.08,0.19,0.161,0.11,0.14,0.08,0.228,0.238
05/09,0.225,0.267,0.067,0.076,0.091,0.215,0.182,0.125,0.165,0.091,0.258,0.267
05/10,0.228,0.268,0.05,0.077,0.09,0.215,0.183,0.122,0.163,0.092,0.259,0.268
05/11,0.252,0.294,0.068,0.087,0.097,0.236,0.2,0.148,0.187,0.098,0.285,0.294
05/12,0.228,0.268,0.064,0.079,0.088,0.215,0.182,0.132,0.174,0.089,0.259,0.268
05/13,0.222,0.262,0.06,0.078,0.086,0.209,0.178,0.134,0.174,0.087,0.254,0.262
05/14,0.241,0.284,0.066,0.086,0.094,0.226,0.193,0.147,0.194,0.095,0.277,0.284
05/15,0.24,0.28,0.064,0.088,0.092,0.224,0.19,0.135,0.193,0.092,0.275,0.28
05/16,0.215,0.252,0.062,0.081,0.085,0.201,0.171,0.13,0.182,0.086,0.25,0.252
05/17,0.215,0.253,0.067,0.085,0.088,0.201,0.172,0.135,0.186,0.089,0.252,0.253
05/18,0.235,0.276,0.076,0.093,0.095,0.222,0.188,0.148,0.203,0.097,0.275,0.276
05/19,0.217,0.255,0.068,0.087,0.088,0.205,0.175,0.135,0.191,0.087,0.254,0.255
05/20,0.198,0.23,0.06,0.078,0.081,0.185,0.156,0.122,0.175,0.08,0.228,0.23
05/21,0.212,0.249,0.071,0.088,0.089,0.199,0.171,0.135,0.192,0.088,0.248,0.249
05/22,0.215,0.254,0.078,0.092,0.093,0.202,0.172,0.143,0.2,0.092,0.253,0.254
05/23,0.223,0.262,0.092,0.099,0.098,0.211,0.178,0.156,0.208,0.098,0.262,0.262
05/24,0.255,0.301,0.115,0.119,0.117,0.242,0.205,0.184,0.245,0.116,0.3,0.301
05/25,0.228,0.268,0.097,0.108,0.108,0.216,0.184,0.172,0.223,0.107,0.268,0.268
05/26,0.218,0.255,0.101,0.106,0.106,0.204,0.174,0.173,0.215,0.106,0.255,0.255
05/27,0.23,0.272,0.111,0.117,0.113,0.218,0.185,0.184,0.228,0.112,0.272,0.272
05/28,0.243,0.286,0.123,0.126,0.124,0.229,0.194,0.197,0.242,0.123,0.286,0.286
05/29,0.255,0.3,0.132,0.133,0.129,0.242,0.204,0.206,0.255,0.128,0.3,0.3
05/30,0.268,0.316,0.148,0.145,0.138,0.252,0.215,0.218,0.272,0.138,0.316,0.316
05/31,0.271,0.32,0.159,0.149,0.143,0.257,0.218,0.225,0.277,0.142,0.32,0.32
06/01,0.268,0.315,0.155,0.15,0.143,0.252,0.214,0.226,0.276,0.142,0.315,0.315
06/02,0.281,0.331,0.169,0.162,0.154,0.264,0.225,0.245,0.292,0.152,0.331,0.331
06/03,0.297,0.351,0.192,0.176,0.169,0.281,0.238,0.263,0.312,0.168,0.351,0.35
06/04,0.329,0.386,0.212,0.196,0.186,0.308,0.263,0.29,0.346,0.185,0.386,0.385
06/05,0.312,0.367,0.217,0.194,0.183,0.293,0.249,0.285,0.33,0.182,0.367,0.366
06/06,0.289,0.339,0.209,0.182,0.175,0.271,0.232,0.264,0.306,0.175,0.339,0.338
06/07,0.272,0.319,0.209,0.178,0.172,0.255,0.22,0.253,0.291,0.17,0.319,0.316
06/08,0.305,0.358,0.238,0.202,0.193,0.285,0.243,0.288,0.328,0.192,0.358,0.354
06/09,0.29,0.342,0.238,0.198,0.19,0.273,0.233,0.281,0.315,0.189,0.342,0.336
06/10,0.288,0.338,0.245,0.201,0.192,0.27,0.23,0.278,0.315,0.191,0.338,0.332
06/11,0.29,0.341,0.25,0.205,0.195,0.272,0.232,0.284,0.316,0.194,0.341,0.332
06/12,0.278,0.325,0.241,0.198,0.19,0.26,0.219,0.274,0.303,0.188,0.325,0.309
06/13,0.313,0.368,0.281,0.228,0.22,0.295,0.25,0.314,0.344,0.218,0.368,0.35
06/14,0.305,0.358,0.27,0.226,0.215,0.287,0.242,0.306,0.335,0.212,0.358,0.34
06/15,0.303,0.357,0.266,0.227,0.216,0.286,0.243,0.302,0.336,0.212,0.357,0.336
06/16,0.295,0.348,0.272,0.227,0.216,0.279,0.237,0.298,0.327,0.213,0.348,0.325
06/17,0.292,0.345,0.278,0.231,0.221,0.277,0.235,0.3,0.325,0.219,0.345,0.313
06/18,0.292,0.342,0.286,0.235,0.227,0.273,0.232,0.3,0.324,0.225,0.342,0.312
06/19,0.32,0.376,0.313,0.264,0.254,0.298,0.255,0.332,0.354,0.252,0.376,0.335
06/20,0.313,0.368,0.318,0.267,0.257,0.295,0.251,0.331,0.349,0.255,0.368,0.325
06/21,0.356,0.418,0.365,0.311,0.295,0.335,0.283,0.373,0.396,0.293,0.418,0.358
06/22,0.362,0.426,0.372,0.322,0.306,0.342,0.289,0.383,0.404,0.304,0.426,0.356
06/23,0.342,0.402,0.35,0.308,0.29,0.323,0.275,0.364,0.382,0.287,0.402,0.33
06/24,0.345,0.406,0.359,0.318,0.302,0.325,0.276,0.369,0.386,0.3,0.406,0.32
06/25,0.348,0.408,0.364,0.329,0.309,0.325,0.278,0.373,0.388,0.306,0.405,0.305
06/26,0.329,0.386,0.344,0.314,0.295,0.31,0.262,0.352,0.366,0.292,0.384,0.288
06/27,0.332,0.391,0.353,0.325,0.305,0.312,0.268,0.357,0.371,0.302,0.388,0.283
06/28,0.355,0.417,0.379,0.355,0.332,0.333,0.285,0.382,0.397,0.33,0.41,0.287
06/29,0.343,0.403,0.37,0.35,0.327,0.322,0.275,0.372,0.384,0.325,0.392,0.265
06/30,0.337,0.395,0.363,0.348,0.324,0.316,0.269,0.365,0.377,0.322,0.378,0.252
07/01,0.375,0.439,0.403,0.393,0.367,0.352,0.299,0.406,0.418,0.363,0.415,0.251
07/02,0.373,0.438,0.404,0.402,0.372,0.352,0.298,0.407,0.417,0.368,0.407,0.266
07/03,0.375,0.441,0.406,0.407,0.379,0.352,0.3,0.409,0.418,0.375,0.405,0.257
07/04,0.372,0.437,0.405,0.411,0.382,0.349,0.296,0.405,0.415,0.378,0.392,0.246
07/05,0.359,0.422,0.393,0.398,0.372,0.338,0.287,0.392,0.4,0.37,0.374,0.205
07/06,0.369,0.435,0.408,0.415,0.388,0.347,0.295,0.405,0.414,0.385,0.385,0.252
07/07,0.365,0.428,0.402,0.415,0.39,0.343,0.292,0.398,0.408,0.386,0.363,0.226
07/08,0.355,0.417,0.392,0.406,0.383,0.334,0.285,0.388,0.396,0.38,0.345,0.214
07/09,0.378,0.443,0.416,0.437,0.412,0.354,0.302,0.412,0.421,0.408,0.353,0.213
07/10,0.366,0.43,0.403,0.425,0.402,0.345,0.292,0.4,0.41,0.398,0.341,0.218
07/11,0.359,0.422,0.395,0.418,0.398,0.338,0.287,0.392,0.402,0.395,0.324,0.201
07/12,0.363,0.427,0.399,0.424,0.405,0.341,0.29,0.396,0.405,0.403,0.305,0.182
07/13,0.383,0.452,0.426,0.451,0.436,0.362,0.308,0.417,0.431,0.432,0.321,0.205
07/14,0.344,0.405,0.379,0.405,0.392,0.323,0.277,0.373,0.384,0.388,0.276,0.171
07/15,0.394,0.462,0.431,0.462,0.452,0.37,0.315,0.426,0.439,0.449,0.259,0.083
