# Station Code,masw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,CHRY,LAWN,PAST,PEAR,WGRP
05/26,0.177,0.208,0.193,0.182,0.165,0.141,0.124,0.128
05/27,0.182,0.214,0.198,0.189,0.172,0.146,0.128,0.132
05/28,0.191,0.223,0.205,0.196,0.178,0.152,0.136,0.14
05/29,0.181,0.212,0.195,0.188,0.168,0.145,0.132,0.133
05/30,0.176,0.208,0.192,0.188,0.165,0.142,0.13,0.13
05/31,0.183,0.215,0.202,0.196,0.172,0.146,0.138,0.138
06/01,0.187,0.222,0.208,0.205,0.177,0.152,0.144,0.142
06/02,0.196,0.231,0.218,0.215,0.185,0.157,0.154,0.148
06/03,0.202,0.238,0.225,0.223,0.191,0.161,0.163,0.155
06/04,0.204,0.241,0.228,0.226,0.193,0.162,0.167,0.157
06/05,0.179,0.211,0.199,0.196,0.168,0.143,0.148,0.135
06/06,0.2,0.235,0.223,0.221,0.188,0.16,0.169,0.151
06/07,0.199,0.233,0.223,0.222,0.185,0.158,0.172,0.152
06/08,0.19,0.225,0.213,0.212,0.179,0.153,0.166,0.146
06/09,0.169,0.2,0.191,0.19,0.161,0.137,0.152,0.131
06/10,0.193,0.227,0.217,0.215,0.183,0.155,0.173,0.147
06/11,0.2,0.237,0.227,0.225,0.19,0.162,0.183,0.154
06/12,0.196,0.23,0.22,0.218,0.183,0.156,0.179,0.151
06/13,0.205,0.239,0.23,0.228,0.191,0.162,0.187,0.155
06/14,0.208,0.243,0.232,0.231,0.195,0.165,0.192,0.157
06/15,0.185,0.217,0.207,0.205,0.175,0.148,0.172,0.142
06/16,0.178,0.21,0.2,0.199,0.167,0.143,0.168,0.137
06/17,0.215,0.254,0.243,0.242,0.203,0.172,0.206,0.165
06/18,0.198,0.233,0.223,0.223,0.187,0.159,0.192,0.152
06/19,0.217,0.254,0.244,0.244,0.203,0.172,0.211,0.166
06/20,0.202,0.237,0.227,0.227,0.189,0.162,0.2,0.155
06/21,0.208,0.245,0.235,0.235,0.195,0.167,0.208,0.158
06/22,0.21,0.248,0.238,0.238,0.198,0.168,0.21,0.161
06/23,0.222,0.26,0.25,0.25,0.208,0.176,0.222,0.171
06/24,0.207,0.243,0.235,0.234,0.193,0.165,0.209,0.158
06/25,0.208,0.245,0.235,0.235,0.196,0.166,0.212,0.158
06/26,0.206,0.243,0.235,0.235,0.195,0.165,0.212,0.158
06/27,0.197,0.233,0.227,0.225,0.188,0.158,0.207,0.152
06/28,0.224,0.264,0.255,0.255,0.21,0.179,0.233,0.173
06/29,0.223,0.262,0.256,0.256,0.212,0.178,0.232,0.172
06/30,0.228,0.268,0.262,0.261,0.214,0.181,0.24,0.175
07/01,0.241,0.283,0.276,0.276,0.226,0.193,0.255,0.184
07/02,0.236,0.275,0.269,0.268,0.22,0.188,0.249,0.18
07/03,0.233,0.274,0.269,0.268,0.22,0.187,0.252,0.178
07/04,0.237,0.276,0.271,0.271,0.222,0.187,0.255,0.182
07/05,0.232,0.272,0.268,0.267,0.219,0.185,0.253,0.178
07/06,0.231,0.271,0.268,0.267,0.217,0.184,0.252,0.177
07/07,0.226,0.265,0.264,0.263,0.212,0.18,0.251,0.173
07/08,0.232,0.273,0.272,0.272,0.219,0.187,0.261,0.178
07/09,0.236,0.277,0.276,0.276,0.221,0.188,0.266,0.179
07/10,0.237,0.279,0.278,0.278,0.224,0.192,0.271,0.182
07/11,0.238,0.279,0.278,0.278,0.224,0.189,0.273,0.182
07/12,0.212,0.25,0.249,0.249,0.199,0.17,0.246,0.163
07/13,0.242,0.283,0.282,0.282,0.228,0.192,0.283,0.185
07/14,0.244,0.286,0.285,0.285,0.228,0.195,0.288,0.187
07/15,0.242,0.285,0.285,0.284,0.228,0.194,0.291,0.184
07/16,0.228,0.267,0.267,0.266,0.212,0.182,0.275,0.173
07/17,0.225,0.265,0.265,0.265,0.213,0.181,0.276,0.175
07/18,0.226,0.264,0.264,0.264,0.211,0.179,0.274,0.172
07/19,0.222,0.261,0.261,0.261,0.208,0.177,0.274,0.168
07/20,0.235,0.275,0.275,0.275,0.22,0.187,0.29,0.179
07/21,0.235,0.278,0.278,0.278,0.222,0.189,0.294,0.182
07/22,0.228,0.268,0.268,0.268,0.214,0.182,0.284,0.175
07/23,0.227,0.267,0.267,0.267,0.214,0.182,0.284,0.175
07/24,0.225,0.264,0.264,0.264,0.209,0.179,0.282,0.172
07/25,0.207,0.245,0.245,0.245,0.195,0.166,0.262,0.161
07/26,0.225,0.263,0.263,0.263,0.211,0.178,0.282,0.172
07/27,0.232,0.272,0.272,0.272,0.217,0.185,0.292,0.177
07/28,0.239,0.281,0.281,0.281,0.223,0.192,0.302,0.182
07/29,0.228,0.268,0.268,0.268,0.215,0.182,0.288,0.175
07/30,0.238,0.279,0.279,0.279,0.224,0.189,0.299,0.182
07/31,0.234,0.274,0.274,0.274,0.219,0.187,0.295,0.178
08/01,0.212,0.248,0.248,0.248,0.198,0.169,0.268,0.162
08/02,0.202,0.238,0.238,0.238,0.189,0.162,0.255,0.155
08/03,0.208,0.245,0.245,0.245,0.198,0.166,0.263,0.159
08/04,0.205,0.242,0.242,0.242,0.195,0.165,0.261,0.158
08/05,0.201,0.237,0.237,0.237,0.189,0.161,0.254,0.154
08/06,0.204,0.239,0.239,0.239,0.191,0.162,0.255,0.156
08/07,0.206,0.241,0.241,0.241,0.192,0.165,0.256,0.158
08/08,0.198,0.234,0.234,0.234,0.186,0.159,0.248,0.152
08/09,0.191,0.224,0.224,0.224,0.178,0.153,0.236,0.145
08/10,0.201,0.236,0.236,0.236,0.19,0.162,0.246,0.155
08/11,0.198,0.235,0.235,0.235,0.188,0.159,0.245,0.153
08/12,0.184,0.218,0.218,0.218,0.173,0.149,0.224,0.142
08/13,0.192,0.225,0.225,0.225,0.181,0.154,0.229,0.147
08/14,0.193,0.225,0.225,0.224,0.18,0.153,0.228,0.147
08/15,0.186,0.217,0.217,0.215,0.173,0.148,0.218,0.142
08/16,0.194,0.228,0.228,0.225,0.182,0.155,0.229,0.149
08/17,0.194,0.228,0.228,0.222,0.183,0.155,0.226,0.148
08/18,0.192,0.225,0.224,0.219,0.181,0.154,0.222,0.147
08/19,0.182,0.212,0.21,0.199,0.17,0.145,0.203,0.138
08/20,0.171,0.201,0.198,0.187,0.162,0.138,0.182,0.131
08/21,0.16,0.187,0.184,0.17,0.15,0.126,0.177,0.123
08/22,0.163,0.192,0.19,0.172,0.152,0.13,0.18,0.124
08/23,0.162,0.19,0.185,0.167,0.152,0.129,0.175,0.124
08/24,0.165,0.194,0.186,0.165,0.157,0.131,0.178,0.127
08/25,0.154,0.18,0.17,0.152,0.143,0.123,0.162,0.115
08/26,0.154,0.182,0.171,0.149,0.143,0.122,0.16,0.119
08/27,0.168,0.198,0.182,0.158,0.158,0.133,0.166,0.129
08/28,0.158,0.186,0.169,0.147,0.148,0.125,0.151,0.12
08/29,0.148,0.174,0.155,0.134,0.138,0.115,0.132,0.114
08/30,0.15,0.177,0.155,0.132,0.142,0.118,0.128,0.116
08/31,0.148,0.175,0.15,0.128,0.138,0.117,0.122,0.115
09/01,0.156,0.184,0.155,0.133,0.148,0.123,0.123,0.12
09/02,0.15,0.178,0.147,0.125,0.142,0.116,0.113,0.116
09/03,0.138,0.162,0.131,0.113,0.128,0.106,0.097,0.105
09/04,0.135,0.16,0.128,0.108,0.128,0.105,0.092,0.105
09/05,0.135,0.158,0.124,0.103,0.126,0.104,0.073,0.102
09/06,0.13,0.153,0.118,0.097,0.124,0.099,0.084,0.099
09/07,0.128,0.15,0.113,0.093,0.12,0.098,0.075,0.097
09/08,0.124,0.145,0.107,0.086,0.117,0.095,0.069,0.095
09/09,0.129,0.152,0.109,0.09,0.122,0.098,0.064,0.098
09/10,0.124,0.145,0.102,0.08,0.115,0.094,0.012,0.094
09/11,0.114,0.134,0.092,0.074,0.107,0.086,0.06,0.086
09/12,0.119,0.14,0.095,0.075,0.112,0.089,0.075,0.092
09/13,0.116,0.136,0.092,0.07,0.108,0.085,0.06,0.088
09/14,0.103,0.122,0.079,0.06,0.098,0.078,0.04,0.079
09/15,0.104,0.122,0.077,0.05,0.098,0.075,0.01,0.068
09/16,0.105,0.122,0.076,0.055,0.097,0.075,0.04,0.078
09/17,0.086,0.1,0.059,0.045,0.08,0.062,0.02,0.068
09/18,0.093,0.11,0.066,0.047,0.088,0.067,0.02,0.071
09/19,0.099,0.117,0.066,0.048,0.094,0.072,0.04,0.077
09/20,0.101,0.119,0.067,0.0,0.095,0.072,0.0,0.012
09/21,0.09,0.107,0.057,,0.086,0.065,,0.08
09/22,0.085,0.098,0.052,,0.08,0.058,,0.055
09/23,0.081,0.095,0.05,,0.076,0.057,,0.045
09/24,0.086,0.1,0.051,,0.079,0.06,,0.065
09/25,0.077,0.091,0.041,,0.074,0.052,,0.0
09/26,0.086,0.099,0.047,,0.079,0.056,,
09/27,0.079,0.094,0.043,,0.076,0.053,,
09/28,0.071,0.08,0.035,,0.062,0.044,,
09/29,0.075,0.085,0.035,,0.068,0.045,,
09/30,0.084,0.097,0.01,,0.076,0.051,,
10/01,0.075,0.086,0.04,,0.068,0.045,,
10/02,0.076,0.088,0.033,,0.071,0.045,,
10/03,0.072,0.082,0.037,,0.065,0.038,,
10/04,0.068,0.079,0.033,,0.064,0.038,,
10/05,0.066,0.075,0.0,,0.058,0.036,,
10/06,0.072,0.083,,,0.066,0.038,,
10/07,0.066,0.077,,,0.061,0.034,,
10/08,0.057,0.065,,,0.052,0.028,,
10/09,0.052,0.062,,,0.051,0.025,,
10/10,0.0,0.0,,,0.0,0.0,,
