# Station Code,grei
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:31
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,FCRN,HAYM,HAYP,LAWN,PAST,POTA,SGRN,WGRN
06/05,0.248,0.291,0.091,0.277,0.281,0.234,0.197,0.098,0.273,0.291
06/06,0.243,0.285,0.086,0.269,0.274,0.229,0.194,0.096,0.269,0.285
06/07,0.21,0.246,0.08,0.232,0.238,0.196,0.166,0.08,0.235,0.246
06/08,0.232,0.272,0.09,0.258,0.26,0.218,0.186,0.091,0.261,0.272
06/09,0.254,0.299,0.098,0.282,0.287,0.24,0.203,0.105,0.29,0.299
06/10,0.217,0.256,0.079,0.243,0.246,0.206,0.174,0.094,0.25,0.256
06/11,0.228,0.268,0.084,0.252,0.258,0.215,0.181,0.102,0.262,0.268
06/12,0.233,0.275,0.086,0.258,0.264,0.22,0.187,0.109,0.27,0.275
06/13,0.218,0.256,0.081,0.238,0.245,0.205,0.174,0.103,0.253,0.256
06/14,0.223,0.263,0.082,0.244,0.252,0.211,0.178,0.105,0.259,0.263
06/15,0.244,0.287,0.092,0.266,0.276,0.231,0.194,0.121,0.283,0.287
06/16,0.22,0.26,0.084,0.24,0.249,0.209,0.177,0.112,0.258,0.26
06/17,0.2,0.234,0.076,0.213,0.225,0.188,0.159,0.106,0.233,0.234
06/18,0.219,0.256,0.085,0.233,0.245,0.206,0.172,0.123,0.255,0.256
06/19,0.246,0.288,0.098,0.261,0.274,0.23,0.197,0.138,0.288,0.288
06/20,0.236,0.276,0.095,0.248,0.263,0.221,0.189,0.136,0.275,0.276
06/21,0.247,0.29,0.101,0.26,0.277,0.232,0.197,0.149,0.289,0.29
06/22,0.244,0.287,0.103,0.254,0.274,0.23,0.194,0.151,0.286,0.287
06/23,0.243,0.283,0.1,0.249,0.272,0.226,0.193,0.156,0.283,0.283
06/24,0.236,0.277,0.104,0.243,0.263,0.222,0.188,0.159,0.277,0.277
06/25,0.239,0.279,0.104,0.244,0.265,0.222,0.188,0.159,0.279,0.279
06/26,0.25,0.293,0.113,0.254,0.278,0.235,0.198,0.174,0.293,0.293
06/27,0.249,0.291,0.116,0.249,0.274,0.233,0.196,0.182,0.291,0.291
06/28,0.238,0.28,0.111,0.241,0.263,0.223,0.19,0.171,0.28,0.28
06/29,0.249,0.292,0.117,0.248,0.275,0.233,0.197,0.184,0.292,0.292
06/30,0.218,0.258,0.109,0.217,0.245,0.206,0.175,0.165,0.258,0.258
07/01,0.234,0.275,0.121,0.232,0.258,0.22,0.188,0.183,0.275,0.275
07/02,0.261,0.305,0.14,0.255,0.287,0.244,0.206,0.208,0.305,0.305
07/03,0.266,0.313,0.15,0.259,0.295,0.25,0.213,0.222,0.313,0.313
07/04,0.271,0.318,0.157,0.264,0.298,0.254,0.215,0.231,0.318,0.318
07/05,0.246,0.291,0.15,0.238,0.272,0.233,0.198,0.214,0.291,0.291
07/06,0.256,0.299,0.157,0.243,0.28,0.238,0.202,0.223,0.299,0.299
07/07,0.27,0.317,0.173,0.256,0.297,0.253,0.214,0.239,0.317,0.317
07/08,0.251,0.294,0.165,0.238,0.275,0.235,0.199,0.226,0.294,0.293
07/09,0.26,0.306,0.175,0.246,0.284,0.246,0.207,0.239,0.306,0.301
07/10,0.25,0.292,0.172,0.235,0.272,0.234,0.198,0.23,0.292,0.287
07/11,0.252,0.293,0.178,0.234,0.273,0.233,0.198,0.235,0.293,0.285
07/12,0.257,0.302,0.188,0.241,0.281,0.241,0.206,0.244,0.302,0.288
07/13,0.282,0.329,0.208,0.263,0.305,0.263,0.223,0.272,0.329,0.305
07/14,0.264,0.308,0.2,0.246,0.284,0.246,0.207,0.257,0.308,0.281
07/15,0.268,0.314,0.209,0.251,0.291,0.251,0.212,0.264,0.314,0.278
07/16,0.272,0.321,0.219,0.257,0.298,0.257,0.218,0.273,0.321,0.277
07/17,0.266,0.311,0.218,0.248,0.288,0.248,0.211,0.268,0.311,0.26
07/18,0.269,0.316,0.226,0.252,0.293,0.252,0.214,0.276,0.316,0.253
07/19,0.277,0.328,0.237,0.263,0.302,0.263,0.223,0.287,0.328,0.257
07/20,0.27,0.316,0.236,0.253,0.292,0.253,0.213,0.279,0.316,0.23
07/21,0.266,0.311,0.237,0.248,0.286,0.248,0.211,0.277,0.31,0.238
07/22,0.265,0.31,0.239,0.248,0.286,0.248,0.21,0.276,0.3,0.233
07/23,0.282,0.331,0.262,0.264,0.303,0.264,0.224,0.297,0.314,0.236
07/24,0.287,0.337,0.275,0.269,0.31,0.269,0.229,0.305,0.311,0.234
07/25,0.276,0.323,0.268,0.258,0.295,0.258,0.22,0.293,0.29,0.23
07/26,0.264,0.309,0.261,0.247,0.282,0.247,0.211,0.281,0.298,0.207
07/27,0.261,0.307,0.264,0.247,0.279,0.247,0.209,0.282,0.287,0.2
07/28,0.257,0.302,0.262,0.241,0.275,0.241,0.205,0.278,0.271,0.183
07/29,0.241,0.284,0.253,0.228,0.257,0.228,0.193,0.262,0.247,0.163
07/30,0.254,0.298,0.269,0.238,0.27,0.238,0.202,0.274,0.241,0.157
07/31,0.268,0.316,0.289,0.253,0.287,0.253,0.214,0.291,0.244,0.157
08/01,0.271,0.321,0.3,0.257,0.291,0.257,0.217,0.299,0.228,0.103
08/02,0.239,0.282,0.265,0.227,0.254,0.227,0.191,0.262,0.172,0.122
08/03,0.265,0.312,0.301,0.249,0.279,0.249,0.212,0.29,0.199,0.166
08/04,0.251,0.293,0.286,0.235,0.265,0.235,0.2,0.272,0.162,0.132
08/05,0.27,0.318,0.313,0.254,0.286,0.254,0.216,0.295,0.136,0.118
08/06,0.244,0.285,0.281,0.228,0.256,0.228,0.192,0.265,0.196,0.157
08/07,0.231,0.272,0.27,0.217,0.245,0.217,0.184,0.25,0.194,0.137
08/08,0.234,0.275,0.273,0.22,0.246,0.22,0.188,0.255,0.212,0.163
